req_id,picture_id,item_code,module_id,module,layer_id,position,item_width,facing,item_type,vert_facing,module_width
20347,20347_23,101142115,4,D,3,743.0,67.0,1,item,1,1000
20347,20347_23,101184709,4,D,3,259.0,67.0,1,item,1,1000
20347,20347_23,101184808,4,D,3,423.0,67.0,1,item,1,1000
20347,20347_23,101244533,4,D,4,95.0,91.0,1,item,1,1000
20347,20347_23,101371466,4,D,4,0.0,86.0,1,item,1,1000
20347,20347_23,101380128,4,D,3,502.0,69.0,1,item,1,1000
20347,20347_23,101380129,4,D,3,662.0,69.0,1,item,1,1000
20347,20347_23,101380483,4,D,2,0.0,63.0,1,item,1,1000
20347,20347_23,101393436,4,D,5,521.0,67.0,1,item,1,1000
20347,20347_23,101422831,4,D,3,174.0,73.0,1,item,1,1000
20347,20347_23,101425283,4,D,3,338.0,73.0,1,item,1,1000
20347,20347_23,101441321,4,D,3,87.0,75.0,1,item,1,1000
20347,20347_23,101441323,4,D,3,0.0,75.0,1,item,1,1000
20347,20347_23,100419502,2,B,2,424.0,76.0,1,item,1,1000
20347,20347_23,100419503,2,B,2,515.0,76.0,1,item,1,1000
20347,20347_23,100786103,2,B,3,800.0,81.0,1,item,1,1000
20347,20347_23,100786104,2,B,3,895.0,81.0,1,item,1,1000
20347,20347_23,101212808,2,B,3,363.0,77.0,1,item,1,1000
20347,20347_23,101228127,2,B,2,184.0,65.0,1,item,1,1000
20347,20347_23,101329917,2,B,3,272.0,77.0,1,item,1,1000
20347,20347_23,101377025,2,B,2,606.0,84.0,1,item,1,1000
20347,20347_23,101377028,2,B,2,705.0,84.0,1,item,1,1000
20347,20347_23,101393437,2,B,3,193.0,65.0,1,item,1,1000
20347,20347_23,101393446,2,B,2,344.0,65.0,1,item,1,1000
20347,20347_23,101393466,2,B,3,454.0,65.0,1,item,1,1000
20347,20347_23,101393499,2,B,3,533.0,65.0,1,item,1,1000
20347,20347_23,101393506,2,B,2,264.0,65.0,1,item,1,1000
20347,20347_23,101426159,2,B,2,804.0,79.0,1,item,1,1000
20347,20347_23,101426161,2,B,2,898.0,79.0,1,item,1,1000
20347,20347_23,101463428,2,B,3,706.0,80.0,1,item,1,1000
20347,20347_23,101463432,2,B,3,612.0,80.0,1,item,1,1000
20347,20347_23,100492608,7,G,3,323.0,91.0,1,item,1,1000
20347,20347_23,100492612,7,G,2,94.0,91.0,1,item,1,1000
20347,20347_23,100492613,7,G,3,216.0,91.0,1,item,1,1000
20347,20347_23,100530302,7,G,2,292.0,91.0,1,item,1,1000
20347,20347_23,100530403,7,G,2,193.0,91.0,1,item,1,1000
20347,20347_23,101304009,7,G,4,292.0,60.0,1,item,1,1000
20347,20347_23,101304209,7,G,4,364.0,60.0,1,item,1,1000
20347,20347_23,101304212,7,G,4,436.0,60.0,1,item,1,1000
20347,20347_23,101371442,7,G,4,73.0,61.0,1,item,1,1000
20347,20347_23,101371447,7,G,4,0.0,61.0,1,item,1,1000
20347,20347_23,101371451,7,G,4,219.0,61.0,1,item,1,1000
